"AI_Agent","Category","Subcategory","Content","Additional_Context"
"ChatGPT","Design Rule","2","one parse for every line sequence",""
"ChatGPT","Design Rule","3","visual structure must equal semantic structure",""
"ChatGPT","Design Rule","4","no context-sensitive keywords",""
"ChatGPT","Design Rule","5","no optional fallback branches in control flow",""
"ChatGPT","Design Rule","6","no silent no-op semantics where a total form is possible",""
"ChatGPT","Design Rule","7","no natural-language flexibility",""
"ChatGPT","Design Rule","8","no synonym operators",""
"ChatGPT","Design Rule","9","all examples must be canonical",""
"ChatGPT","Design Rule","10","all canonical programs must round-trip through parser and formatter without change",""
"ChatGPT","Feature to Keep","small core type system","lowers inference burden for models.",""
"ChatGPT","Feature to Keep","one statement per line","helps segmentation, provided structure is made semantic.",""
"ChatGPT","Feature to Keep","let then set split","reduces mutation ambiguity.",""
"ChatGPT","Feature to Keep","short explicit golden rules","good basis for a canonical generation contract.",""
"ChatGPT","Bottom Line","Can it reach 100%?","not literally 100 percent for all LLMs, but it can get materially closer",""
"ChatGPT","Bottom Line","Highest value fix","make block structure explicit and unambiguous",""
"ChatGPT","Bottom Line","Second highest value fix","replace multiword operators and context-sensitive keywords with single canonical reserved tokens",""
"ChatGPT","Bottom Line","Expected result if all changes are applied","near-maximal parser-faithful generation reliability relative to current Lumo",""
"ChatGPT","Comparison","vs Python","Slightly easier for direct surface parsing and short-hop reasoning because operators and control flow are written in plain English and the language keeps a small, uniform syntax. Slightly worse than Python for unambiguous structural interpretation because English-like multiword operators, dash-prefixed nested blocks, and the documented nested-match greediness create more parser ambiguity than Python's cleaner statement boundaries.",""
"ChatGPT","Comparison","vs Elixir","Easier for token-level reading than Elixir because it removes most symbolic density and presents intent in plain language. Worse for precise structural reasoning than Elixir because Elixir's syntax, while denser, is more formally regular and less vulnerable to natural-language ambiguity.",""
"ChatGPT","Comparison","vs JavaScript","More readable than JavaScript for LLMs because it has fewer syntactic forms, far fewer punctuation-driven constructs, fewer coercion traps, and a much smaller control-flow surface. JavaScript is harder due to overloaded syntax, multiple function forms, implicit behaviors, and broader contextual ambiguity.",""
"ChatGPT","Comparison","vs C","Much more readable than C for LLMs because it avoids pointer-heavy reasoning, symbolic operator density, declaration complexity, and low-level state manipulation. C is more exact but much harder for LLMs to parse and generate correctly without small but critical mistakes.",""
"ChatGPT","Trait (Helps)","1","Plain-English operators and keywords reduce symbol decoding burden",""
"ChatGPT","Trait (Helps)","2","Very small core language surface",""
"ChatGPT","Trait (Helps)","3","One statement per line improves segmentation",""
"ChatGPT","Trait (Helps)","4","Explicit let-then-set rule reduces mutation ambiguity",""
"ChatGPT","Trait (Helps)","5","Limited runtime type system lowers inference load",""
"ChatGPT","Trait (Helps)","6","Documented precedence and grammar are compact",""
"ChatGPT","Trait (Helps)","7","Intent statements provide explicit semantic guidance",""
"ChatGPT","Trait (Helps)","8","Golden rules directly constrain generation behavior",""
"ChatGPT","Trait (Helps)","9","Few special forms relative to mainstream languages",""
"ChatGPT","Trait (Helps)","10","Examples closely match grammar and execution model",""
"ChatGPT","Trait (Hurt)","1","Natural-language phrasing introduces semantic ambiguity that symbolic operators avoid",""
"ChatGPT","Trait (Hurt)","2","Multiword operators such as divided by, greater than, and less than increase boundary-resolution burden",""
"ChatGPT","Trait (Hurt)","3","Dash-prefixed nesting in repeat, match, and pipe can be mis-scoped by models",""
"ChatGPT","Trait (Hurt)","4","Documented greedy nested-match behavior is a major reasoning and generation hazard",""
"ChatGPT","Trait (Hurt)","5","Indentation is cosmetic, so visual structure does not guarantee semantic structure",""
"ChatGPT","Trait (Hurt)","6","English-like syntax can tempt a model into writing invalid near-English instead of exact grammar",""
"ChatGPT","Trait (Hurt)","7","Special keywords like value and result have context-sensitive meaning",""
"ChatGPT","Trait (Hurt)","8","Match uses catch error as a default branch label, which is semantically unusual and easy to misuse",""
"ChatGPT","Trait (Hurt)","9","Expression-as-statement support can blur intent and make program state transitions less explicit",""
"ChatGPT","Trait (Hurt)","10","The language mixes readability-oriented phrasing with parser-sensitive exact wording, which increases brittle generation risk",""
"ChatGPT","Ranking","1","Lumo (Score: 90)",""
"ChatGPT","Ranking","2","Python (Score: 88)",""
"ChatGPT","Ranking","3","Elixir (Score: 84)",""
"ChatGPT","Ranking","4","JavaScript (Score: 72)",""
"ChatGPT","Ranking","5","C (Score: 61)",""
"Gemini","Score","Overall Readability","9.5/10",""
"Gemini","Comparison","vs Python","Lumo eliminates indentation-dependent logic errors by treating indentation as purely cosmetic and requiring one statement per line. It replaces symbolic operators with plain English, reducing token-level ambiguity present in Python's syntax.",""
"Gemini","Comparison","vs Elixir","While Elixir uses symbolic pipes, Lumo utilizes a keyword-based 'pipe' construct and a 'value' register, which provides explicit semantic markers for LLMs to track data transformation sequences.",""
"Gemini","Comparison","vs JavaScript","Lumo avoids the syntactic complexity of curly braces and semi-colons, which can lead to parsing errors in LLM generation. Its strict 'let' before 'set' rule prevents the variable hoisting or implicit global issues often found in JavaScript reasoning.",""
"Gemini","Comparison","vs C","Lumo is significantly more readable for LLMs than C because it removes low-level concepts like pointers, manual memory management, and preprocessor macros in favor of high-level English keywords.",""
"Gemini","Trait (Helps)","1","Use of plain English keywords instead of abstract symbols for all logic and arithmetic.",""
"Gemini","Trait (Helps)","2","Built-in 'intent' blocks that provide explicit natural language context for the following code blocks.",""
"Gemini","Trait (Helps)","3","The '???' hole feature which allows for structured, incremental code generation and error handling.",""
"Gemini","Trait (Helps)","4","Strict separation between variable declaration ('let') and mutation ('set').",""
"Gemini","Trait (Helps)","5","One statement per line requirement simplifies the LLM's linear parsing and generation process.",""
"Gemini","Trait (Hurt)","1","High verbosity increases the total token count required for simple operations.",""
"Gemini","Trait (Hurt)","2","The greedy nature of nested match expressions requires specific 'cascade' patterns to avoid parsing ambiguity.",""
"Gemini","Trait (Hurt)","3","Potential for keyword collisions if the LLM attempts to use reserved words like 'value' as standard identifiers.",""
"Gemini","Ranking","1","Lumo",""
"Claude Opus 4.6","Score","Overall Readability","9.3",""
"Claude Opus 4.6","Comparison","vs Python","+0.7 — all-English operators eliminate symbol ambiguity; smaller grammar makes generation near-deterministic; dramatically less training data offsets some advantage",""
"Claude Opus 4.6","Comparison","vs Elixir","+2.3 — no pipe operator symbols, no pattern-matching arity rules, no macros, no sigils; Lumo pipe construct is a simplified English equivalent of Elixir pipes without |> syntax",""
"Claude Opus 4.6","Comparison","vs JavaScript","+2.5 — no symbolic operators, no prototype chain, no type coercion traps, no semicolon ambiguity, no curly-brace scoping to track",""
"Claude Opus 4.6","Comparison","vs C","+3.8 — no pointer arithmetic, no preprocessor directives, no manual memory management, no header files, no type declarations, no undefined behavior edge cases",""
"Claude Opus 4.6","Trait (Helps)","1","Every operator is a plain English word (plus, minus, times, divided by, greater than, less than, equals, and, or, not)",""
"Claude Opus 4.6","Trait (Helps)","2","Formal EBNF grammar is tiny (roughly 30 productions) making the entire syntax memorizable in one context window",""
"Claude Opus 4.6","Trait (Helps)","3","One statement per line rule eliminates all parsing ambiguity from statement boundaries",""
"Claude Opus 4.6","Trait (Helps)","4","Built-in intent declaration provides semantic context the LLM can use for self-verification",""
"Claude Opus 4.6","Trait (Helps)","5","Hole construct (???) gives a first-class mechanism for incremental LLM generation",""
"Claude Opus 4.6","Trait (Helps)","6","No overloaded symbols — each keyword has exactly one meaning",""
"Claude Opus 4.6","Trait (Helps)","7","Flat single-environment scoping removes the need to track lexical scope chains",""
"Claude Opus 4.6","Trait (Helps)","8","Explicit let/set distinction makes mutation tracking trivial",""
"Claude Opus 4.6","Trait (Helps)","9","Dedicated LLM code-generation guide is part of the language specification itself",""
"Claude Opus 4.6","Trait (Helps)","10","Dash-prefixed body lines create a visually and tokenically uniform block structure",""
"Claude Opus 4.6","Trait (Helps)","11","No escape sequences, no string interpolation, no implicit conversions between types",""
"Claude Opus 4.6","Trait (Hurt)","1","Extremely small training corpus — LLMs will have seen near-zero Lumo code during pretraining, so all knowledge must come from in-context documentation",""
"Claude Opus 4.6","Trait (Hurt)","2","Nested match via catch-error-only rule is non-obvious and violates the intuition an LLM would carry from other languages with nested conditionals",""
"Claude Opus 4.6","Trait (Hurt)","3","No user-defined functions or recursion — forces verbose repeated patterns that an LLM might try to abstract away incorrectly",""
"Claude Opus 4.6","Trait (Hurt)","4","No data structures beyond primitives (no arrays, lists, maps) — LLMs must work around this limitation and may hallucinate nonexistent features",""
"Claude Opus 4.6","Trait (Hurt)","5","pipe map and filter are currently no-ops — an LLM may generate code expecting them to function",""
"Claude Opus 4.6","Trait (Hurt)","6","Multi-word operators like 'divided by', 'greater than', 'less than' span two tokens, creating a tokenization mismatch with how LLMs typically process code",""
"Claude Opus 4.6","Trait (Hurt)","7","Lack of standard library means common operations require manual implementation the LLM has fewer patterns to draw from",""
"Claude Opus 4.6","Change Required","1","Publish a large corpus of annotated Lumo programs (500+ examples covering diverse domains) so LLMs can fine-tune or few-shot from real usage patterns",""
"Claude Opus 4.6","Change Required","2","Add user-defined functions with a plain-English syntax (e.g., 'define task greet taking name' / 'return result') to eliminate repeated code blocks that LLMs may abstract incorrectly",""
"Claude Opus 4.6","Change Required","3","Implement working list/map data structures with English-word accessors (e.g., 'item 3 of mylist', 'value of key in mymap') to prevent LLMs from hallucinating nonexistent collection features",""
"Claude Opus 4.6","Change Required","4","Make pipe map and filter operational so LLMs generating those constructs produce runnable code",""
"Claude Opus 4.6","Change Required","5","Replace multi-word operators (divided by, greater than, less than) with optional single-word aliases (divby, above, below) to reduce tokenization fragmentation",""
"Claude Opus 4.6","Change Required","6","Add an explicit if/else alias for the match-on-boolean pattern to align with the conditional mental model LLMs carry from all other languages",""
"Claude Opus 4.6","Change Required","7","Provide a machine-readable schema file (JSON or YAML) that an LLM can load as a structured tool definition, listing every keyword, its arity, and its valid contexts",""
"Claude Opus 4.6","Ranking","1","Lumo (Score: 9.3)",""
"Claude Opus 4.6","Ranking","2","Python (Score: 8.6)",""
"Claude Opus 4.6","Ranking","3","Elixir (Score: 7.0)",""
"Claude Opus 4.6","Ranking","4","JavaScript (Score: 6.8)",""
"Claude Opus 4.6","Ranking","5","C (Score: 5.5)",""
